label,pattern,attr,replace
odonata,Indolestes gracilis,lower,
odonata,Lestes gracilis,lower,Indolestes gracilis
odonata,Lestes birmanus,lower,Indolestes gracilis
odonata,Ceylonolestes davenporti,lower,Indolestes gracilis
odonata,Indolestes gracilis,lower,Indolestes gracilis
odonata,Indolestes guizhouensis,lower,
odonata,Indolestes indicus,lower,
odonata,Indolestes inflatus,lower,
odonata,Ceylonolestes inflata,lower,Indolestes inflatus
odonata,Indolestes insularis,lower,
odonata,Austrolestes insularis,lower,Indolestes insularis
odonata,Indolestes lafaeci,lower,
odonata,Indolestes linsleyi,lower,
odonata,Indolestes lundquisti,lower,
odonata,Lestes lundquisti,lower,Indolestes lundquisti
odonata,Indolestes luxatus,lower,
odonata,Lestes luxatus,lower,Indolestes luxatus
odonata,Indolestes lygisticercus,lower,
odonata,Lestes lygisticercus,lower,Indolestes lygisticercus
odonata,Indolestes obiri,lower,
odonata,Indolestes peregrinus,lower,
odonata,Lestes gracilis,lower,Indolestes peregrinus
odonata,Indolestes pulcherrimus,lower,
odonata,Indolestes risi,lower,
odonata,Lestes risi,lower,Indolestes risi
odonata,Indolestes sutteri,lower,
odonata,Indolestes tenuissimus,lower,
odonata,Lestes tenuissimus,lower,Indolestes tenuissimus
odonata,Indolestes vitiensis,lower,
odonata,Austrolestes vitiensis,lower,Indolestes vitiensis
odonata,Lestes alacer,lower,
odonata,Lestes sublata,lower,Lestes alacer
odonata,Lestes alfonsoi,lower,
odonata,Lestes amicus,lower,
odonata,Lestes angularis,lower,
odonata,Lestes apollinaris,lower,
odonata,Lestes auripennis,lower,
odonata,Lestes auritus,lower,
odonata,Lestes australis,lower,
odonata,Lestes barbarus,lower,
odonata,Agrion barbara,lower,Lestes barbarus
odonata,Agrion nympha,lower,Lestes barbarus
odonata,Lestes basidens,lower,
odonata,Lestes bipupillatus,lower,
odonata,Lestes concinnus,lower,
odonata,Lestes umbrina,lower,Lestes concinnus
odonata,Lestes paludosus,lower,Lestes concinnus
odonata,Lestes thoracica,lower,Lestes concinnus
odonata,Orolestes motis,lower,Lestes concinnus
odonata,Lestes congener,lower,
odonata,Lestes curvatus,lower,
odonata,Lestes debellardi,lower,
odonata,Lestes dichrostigma,lower,
odonata,Lestes disjunctus,lower,
odonata,Lestes dissimulans,lower,
odonata,Lestes dorothea,lower,
odonata,Lestes dryas,lower,
odonata,Lestes nympha,lower,Lestes dryas
odonata,Agrion forcipula,lower,Lestes dryas
odonata,Lestes forcipula,lower,Lestes dryas
odonata,Lestes skaloni,lower,Lestes dryas
odonata,Lestes elatus,lower,
odonata,Lestes eurinus,lower,
odonata,Lestes falcifer,lower,
odonata,Lestes edentatus,lower,Lestes falcifer
odonata,Lestes fernandoi,lower,
odonata,Lestes forcipatus,lower,
odonata,Lestes hamata,lower,Lestes forcipatus
odonata,Lestes forficula,lower,
odonata,Lestes forficula,lower,Lestes forficula
odonata,Lestes garoensis,lower,
odonata,Lestes helix,lower,
odonata,Lestes henshawi,lower,
odonata,Lestes ictericus,lower,
odonata,Lestes jacobi,lower,Lestes ictericus
odonata,Lestes geminata,lower,Lestes ictericus
odonata,Lestes disarmatus,lower,Lestes ictericus
odonata,Lestes inaequalis,lower,
odonata,Lestes japonicus,lower,
odonata,Lestes jerrelli,lower,
odonata,Lestes jurzitzai,lower,
odonata,Lestes macrostigma,lower,
odonata,Agrion macrostigma,lower,Lestes macrostigma
odonata,Lestes malabaricus,lower,
odonata,Lestes malaisei,lower,
odonata,Lestes minutus,lower,
odonata,Lestes mediorufus,lower,Lestes minutus
odonata,Lestes nigriceps,lower,
odonata,Lestes nodalis,lower,
odonata,Lestes numidicus,lower,
odonata,Lestes ochraceus,lower,
odonata,Lestes unicolor,lower,Lestes ochraceus
odonata,Lestes aldabrensis,lower,Lestes ochraceus
odonata,Lestes pallidus,lower,
odonata,Lestes somalicus,lower,Lestes pallidus
odonata,Lestes chromatus,lower,Lestes pallidus
odonata,Lestes cineraceus,lower,Lestes pallidus
odonata,Lestes radiatus,lower,Lestes pallidus
odonata,Lestes wahlbergi,lower,Lestes pallidus
odonata,Lestes stigmatus,lower,Lestes pallidus
odonata,Lestes patricia,lower,
odonata,Lestes paulistus,lower,
odonata,Lestes pictus,lower,
odonata,Lestes pinheyi,lower,
odonata,Lestes plagiatus,lower,
odonata,Agrion plagiatum,lower,Lestes plagiatus
odonata,Lestes forceps,lower,Lestes plagiatus
odonata,Lestes obscurus,lower,Lestes plagiatus
odonata,Lestes regulatus,lower,Lestes plagiatus
odonata,Lestes tarryi,lower,Lestes plagiatus
odonata,Lestes praecellens,lower,
odonata,Lestes praemorsus,lower,
odonata,Lestes praemorsus,lower,Lestes praemorsus
odonata,Lestes andamanensis,lower,Lestes praemorsus
odonata,Lestes praemorsus,lower,Lestes praemorsus
odonata,Lestes praevius,lower,
odonata,Lestes pruinescens,lower,
odonata,Lestes quadristriatus,lower,
odonata,Lestes quercifolius,lower,
odonata,Lestes albofasciata,lower,Lestes quercifolius
odonata,Lestes rectangularis,lower,
odonata,Lestes scalaris,lower,
odonata,Lestes scalaris,lower,Lestes scalaris
odonata,Lestes secula,lower,
odonata,Lestes sigma,lower,
odonata,Lestes silvaticus,lower,
odonata,Chalcolestes silvaticus,lower,Lestes silvaticus
odonata,Lestes simplex,lower,
odonata,Lestes simulatrix,lower,
odonata,Lestes simulans,lower,Lestes simulatrix
odonata,Lestes spatula,lower,
odonata,Lestes sponsa,lower,
odonata,Agrion sponsa,lower,Lestes sponsa
odonata,Agrion forcipula,lower,Lestes sponsa
odonata,Lestes autumnalis,lower,Lestes sponsa
odonata,Agrion picteti,lower,Lestes sponsa
odonata,Agrion spectrum,lower,Lestes sponsa
odonata,Lestes smaragdula,lower,Lestes sponsa
odonata,Indolestes neglectus,lower,Lestes sponsa
odonata,Lestes nymphaeides,lower,Lestes sponsa
odonata,Lestes spumarius,lower,
odonata,Lestes sternalis,lower,
odonata,Lestes pallidus,lower,Lestes sternalis
odonata,Lestes confusus,lower,Lestes sternalis
odonata,Lestes stultus,lower,
odonata,Lestes temporalis,lower,
odonata,Lestes tenuatus,lower,
odonata,Lestes tikalus,lower,
odonata,Lestes trichonus,lower,
odonata,Lestes tricolor,lower,
odonata,Lestes tridens,lower,
odonata,Lestes niger,lower,Lestes tridens
odonata,Lestes uncifer,lower,
odonata,Lestes undulatus,lower,
odonata,Lestes vittatus,lower,Lestes undulatus
odonata,Agrion viridivittatum,lower,Lestes undulatus
odonata,Lestes unguiculatus,lower,
odonata,Lestes urubamba,lower,
odonata,Lestes vidua,lower,
odonata,Lestes vigilax,lower,
odonata,Lestes virens,lower,
odonata,Agrion virens,lower,Lestes virens
odonata,Agrion paedisca,lower,Lestes virens
odonata,Lestes vestalis,lower,Lestes virens
odonata,Lestes sellata,lower,Lestes virens
odonata,Lestes virens,lower,Lestes virens
odonata,Lestes virgatus,lower,
odonata,Agrion virgatum,lower,Lestes virgatus
odonata,Lestes rothschildi,lower,Lestes virgatus
odonata,Lestes viridulus,lower,
odonata,Orolestes durga,lower,
odonata,Orolestes motis,lower,
odonata,Orolestes octomaculatus,lower,
odonata,Orolestes excelsa,lower,Orolestes octomaculatus
odonata,Orolestes selysi,lower,
odonata,Megalestes mirabilis,lower,Orolestes selysi
odonata,Orolestes koxingai,lower,Orolestes selysi
odonata,Orolestes wallacei,lower,
odonata,Lestes wallacei,lower,Orolestes wallacei
odonata,Lestes udeana,lower,Orolestes wallacei
odonata,Lestes ridleyi,lower,Orolestes wallacei
odonata,Platylestes heterostylus,lower,
odonata,Platylestes kirani,lower,
odonata,Platylestes pertinax,lower,
odonata,Platylestes platystylus,lower,
odonata,Lestes platystyla,lower,Platylestes platystylus
odonata,Sinhalestes orientalis,lower,
odonata,Lestes orientalis,lower,Sinhalestes orientalis
odonata,Sympecma fusca,lower,
odonata,Agrion fusca,lower,Sympecma fusca
odonata,Agrion phallatum,lower,Sympecma fusca
odonata,Sympecma aragonensis,lower,Sympecma fusca
odonata,Sympecma gobica,lower,
odonata,Sympecma annulata,lower,Sympecma gobica
odonata,Sympecma paedisca,lower,
odonata,Sympycna paedisca,lower,Sympecma paedisca
odonata,Sympecma annulata,lower,Sympecma paedisca
odonata,Sympycna braueri,lower,Sympecma paedisca
odonata,Sympecma annulata,lower,Sympecma paedisca
odonata,Sympecma paedisca,lower,Sympecma paedisca
odonata,Sympecma paedisca,lower,
odonata,Ceylonosticta adami,lower,
odonata,Ceylonosticta alwisi,lower,
odonata,Ceylonosticta anamia,lower,
odonata,Drepanosticta anamia,lower,Ceylonosticta anamia
odonata,Ceylonosticta austeni,lower,
odonata,Drepanosticta austeni,lower,Ceylonosticta austeni
odonata,Ceylonosticta bine,lower,
odonata,Drepanosticta bine,lower,Ceylonosticta bine
odonata,Ceylonosticta brincki,lower,
odonata,Drepanosticta brincki,lower,Ceylonosticta brincki
odonata,Ceylonosticta digna,lower,
odonata,Platysticta digna,lower,Ceylonosticta digna
odonata,Ceylonosticta goodalei,lower,
odonata,Ceylonosticta hilaris,lower,
odonata,Platysticta hilaris,lower,Ceylonosticta hilaris
odonata,Ceylonosticta inferioreducta,lower,
odonata,Ceylonosticta lankanensis,lower,
odonata,Drepanosticta sinhalensis,lower,Ceylonosticta lankanensis
odonata,Drepanosticta starmuehlneri,lower,Ceylonosticta lankanensis
odonata,Ceylonosticta mirifica,lower,
odonata,Ceylonosticta mojca,lower,
odonata,Drepanosticta mojca,lower,Ceylonosticta mojca
odonata,Ceylonosticta montana,lower,
odonata,Platysticta montana,lower,Ceylonosticta montana
odonata,Ceylonosticta nancyae,lower,
odonata,Ceylonosticta nietneri,lower,
odonata,Ceylonosticta rupasinghe,lower,
odonata,Ceylonosticta submontana,lower,
odonata,Drepanosticta fraseri,lower,Ceylonosticta submontana
odonata,Ceylonosticta subtropica,lower,
